source,title,description,category,publishedAt
Luzernerzeitung.ch,Dieser Mann will mit seiner Zuger Firma Lamborghini kaufen - Luzerner Zeitung,"Eine Zuger Holding hat ein Kaufangebot für die Luxusautomarke Lamborghini unterbreitet. Dahinter steckt ein Designer aus St.Gallen. Sein Ziel ist es, das Profil der Marke zu schärfen.",business,2021-05-27T13:30:00Z
Watson.ch,"Shell, Exxon, Chevron: Die Ölmultis verlieren gegen Klimaaktivisten",Rabenschwarzer Tag für die grössten Ölmultis der Welt. Sie kassieren ganz unterschiedliche Niederlagen.,business,2021-05-27T11:58:00Z
Blick.ch,Migros baut Abfüllstationen für Lebensmittel in Filialen schweizweit aus,"Noch mehr Unverpackt-Stationen: Die Migros kündigt für weitere Landesteile einen Ausbau aus. Bald können Kunden schweizweit in den M-Supermärkten Teigwaren, Süssigkeiten oder Trockenfrüchte unverpackt abfüllen und einkaufen.",business,2021-05-27T10:28:35Z
Tagesanzeiger.ch,Elon Musk fällt hinter VW zurück – Must have war gestern – heute ist Tesla ein gewöhnlicher Autobauer,Die Nachfrage nach E-Autos zieht an. Der Elektroautopionier von Elon Musk verliert trotz Technologievorsprung kontinuierlich an Marktanteilen.,business,2021-05-27T09:56:29Z
20 Minuten,Weniger Briefe - Post will gelbe Briefkästen weniger häufig leeren,"Es werden immer weniger Briefe geschrieben. Die Post sieht das als Grund, die gelben Briefkästen weniger oft zu leeren.",business,2021-05-27T09:03:54Z
20 Minuten,Chef des Luxus-Konzerns LVMH - Für zwei Stunden war Bernard Arnault der reichste Mann der Welt,"Mit 151.9 Milliarden Euro stand der Unternehmer Bernard Arnault (72), Chef des Luxus-Konzerns LVMH, am Dienstagnachmittag auf dem ersten Platz der «Forbes»-Liste. Nach zwei Stunden wurde er von Amazon-Chef Jeff Bezos (57) wieder entthront.",business,2021-05-27T09:01:43Z
Finews.ch,Credit Suisse: Verkauf des Asset Managements laut gefordert,"Seit dem Greensill-Debakel ranken sich Verkaufsgerüchte um das Asset Management der Credit Suisse. Es rumort immer lauter, zumal manche Grossinvestoren nunmehr schnelles Geld sehen wollen.",business,2021-05-27T09:01:00Z
20 Minuten,Cupra Born - Das erste E-Auto von Cupra sorgt für Emotionen,Mit dem Born lässt Cupra den alten Seat-Slogan «Auto Emocion» aufleben. Technisch muss er sich allerdings dem Diktat aus Wolfsburg unterwerfen.,business,2021-05-27T08:45:00Z
Aerotelegraph.com,Airbus bringt A320 aufs Vorkrisen-Niveau zurück,Der Flugzeugbauer schaut wieder optimistisch in die Zukunft. Beim A320 setzt sich Airbus Ziele wie vor der Krise. Nur bei einem Modell fährt er die Produktion nicht hoch.,business,2021-05-27T08:32:00Z
20 Minuten,Neue Kundenkarte - Jetzt kannst du mit der App «Lidl Plus» Rabattcoupons einlösen,Zwölf Jahre nach dem Schweizer Einstieg führt der deutsche Discounter eine Kundenkarte ein – die es nur digital gibt. Die App speichert auch den Kassenzettel.,business,2021-05-27T07:02:56Z
Blick.ch,Sulzer bringt mit APS Fruchtbarkeits-Spritzen an die Börse,Sulzer bringt seine Sparte APS an die Firma. Weshalb und was das für den Industriekonzern bedeutet.,business,2021-05-27T06:17:14Z
Blockchain-hero.com,Bei diesem Bitcoin-Preis wird PlanB seine BTC verkaufen - Blockchain-Hero,"PlanB ist bekannt für sein Stock-to-Flow-Modell, mit dessen normalen Modell er einen Bitcoin-Preis von 100.000 USD vorhersieht. Jetzt hat er auch bekannt gegeb",business,2021-05-27T06:04:19Z
20 Minuten,Andy Jassy wird Nachfolger - Jeff Bezos gibt Amazon-Leitung am 5. Juli ab,"Jeff Bezos hat angekündigt, die Unternehmensleitung von Amazon abzugeben. Andy Jassy, der momentan die Cloud-Computing-Sparte des Konzerns führt, übernimmt.",business,2021-05-27T05:51:30Z
Blick.ch,Teslas Cybertruck: Nachfrage geht durch die Decke,Teslas Cybertruck wurde bereits häufiger vorbestellt als das Werk in den vergangenen zwei Jahren ausgeliefert hat. Dabei hat noch niemand die Serienversion gesehen.,business,2021-05-27T05:02:25Z
Ecomento.de,Forscher: Kabelloses Elektroauto-Laden mit mehr als 90 Prozent Wirkungsgrad möglich - ecomento.de,Forscher haben kabelloses Auf- und Entladen von Elektroautos untersucht. Dabei erreichten sie einen Wirkungsgrad von über 90 Prozent.,business,2021-05-27T01:07:30Z
Blick.ch,Gebührenhammer für KMU: Migros und Coop zahlen für Twint nur die Hälfte!,Twint sorgt bei den KMU für rote Köpfe. Die Bezahl-App wird immer beliebter und verlangt von kleinen Händlern horrende Gebühren. Blick-Recherchen zeigen jetzt: Coop und Migros zahlen nur die Hälfte. Gewerbeverbands-Chef Hans-Ulrich Bigler sieht rot.,business,2021-05-26T23:25:46Z
Aerotelegraph.com,Alte Embraer ERJ 145 sollen zu halben Privatjets werden,"Der brasilianische Flugzeugbauer stellt eine Umbaulösung vor, mit der ERJ-145-Regionalflugzeuge zu kleinen Privatjets werden. Dank Corona hofft Embraer auf gute Nachfrage.",business,2021-05-26T13:25:00Z
Www.nzz.ch,Klage wegen «wettbewerbsfeindlicher Praktiken» gegen Amazon - Neue Zürcher Zeitung,"NZZ Nachrichten, Hintergründe, Meinungen aus der Schweiz, International, Sport, Digital, Wirtschaft, Auto & mehr. Fundierte Berichterstattung rund um die Uhr.",business,2021-05-26T10:00:00Z
heise online,Sicherheitsupdates: Kritische Schadcode-Lücke bedroht VMware vCenter Server,Die Servermanagementsoftware vCenter Server ist verwundbar. Angreifer könnten Schadcode ausführen.,business,2021-05-26T08:55:00Z
Insideparadeplatz.ch,Nine-to-Five-Scholl kriegt 15 Monate Ehrenrunde - Inside Paradeplatz,"ZKB-Chef kündigt Rücktritt mit über einem Jahr Vorlauf an, erhält so lange Lohn und Bonus. NZZ begeistert, interne Nachfolgefights gehen los.",business,2021-05-26T05:48:08Z
BLICK,Lidl Schweiz lanciert digitale Kundenkarte,Cumulus und Supercard – für jeden Einkauf gibt es etwas Geld zurück. Jetzt lanciert mit Lidl Schweiz erstmals ein Discounter ein Kundenbindungsprogramm. Wie bei den Grossverteilern gibt es den Rabatt aber nur gegen persönliche Daten.,business,2021-05-27T08:38:13Z
auto motor und sport,Genesis GV80: So fährt der Bentley für Arme,"Sieht aus wie ein Bentley Bentayga, meinen Sie? Tatsächlich steckt hinter dem GV80 aber ein luxuriöser Hyundai. Nur, dass er eben Genesis heißt.",business,2021-05-27T06:27:17Z
Coincierge,Bull-Run reloaded: Bitcoin auf dem Weg zu $100k,"Nach dem Krypto-Crash nimmt der Bull-Run offenbar wieder Fahrt auf, und BTC befindet sich erneut auf dem Weg zu 100.000 Dollar.",business,2021-05-26T11:30:19Z
BLICK,Kommt A-Post noch rechtzeitig? Post leert gelbe Briefkästen seltener,Die Post wird einen Teil ihrer Briefkästen ab kommender Woche weniger oft leeren. Sie reagiert damit auf den kontinuierlichen Rückgang der Briefmengen.,business,2021-05-26T10:17:37Z
