source,title,description,category,publishedAt
BLICK,Ist Indien-Variante 50 Prozent ansteckender als britische?,Ist die indische Variante noch einmal 50 Prozent ansteckender als die britische? Dies behauptet ein Expertengremium in Grossbritannien. Auch Premierminister Boris Johnson warnt.,world,2021-05-14T19:02:21Z
Schweizer Radio und Fernsehen (SRF),Lockerungen der Massnahmen - Keine Masken für Geimpfte in den USA: Das müssen Sie wissen,Die USA planen eine Lockerung der Maskenpflicht nach vollständiger Impfung. In der Praxis stellen sich aber Fragen.,world,2021-05-14T14:34:00Z
20 Minuten,Maha Vajiralongkorn – Rama X : Thailands König liegt wegen Atemproblemen auf Intensivstation,"Der Monarch wurde kürzlich in ein Spital eingeliefert. Ob sein Gesundheitszustand durch eine Corona-Ansteckung verursacht wurde, ist derzeit noch unklar.",world,2021-05-14T13:43:10Z
BLICK,Schweiz steigert das Impftempo um einen Drittel,Die Schweizer Impfkampagne macht grosse Schritte vorwärts. Das Impf-Tempo in der Schweiz ist in der letzten Woche um einen Drittel gestiegen.,world,2021-05-14T12:43:46Z
BLICK,Rettung aus brennendem Haus: Büsi springt aus fünftem Stock und rennt davon,"Ein Video eines Hausbrandes in Chicago verbreitet sich wie Lauffeuer im Netz. Doch nicht etwa, weil die Flammen sonderlich spektakulär wären. Sondern weil eine Katze aus dem Fenster im fünften Stock springt!",world,2021-05-14T11:50:37Z
20 Minuten,Gelsenkirchen (D) : Deutscher Staatsschutz ermittelt nach antisemitischem Aufmarsch,"In Gelsenkirchen versammelten sich am Mittwochabend rund 180 Menschen und skandierten judenfeindliche Parolen. Mittlerweile wurde einer der Krawallmacher identifiziert, der Staatsschutz ermittelt.",world,2021-05-14T09:27:26Z
Schweizer Radio und Fernsehen (SRF),"Österreich - ""Es wird sehr unangenehm für Kanzler Kurz""","Gegen Bundeskanzler Sebastian Kurz wird ermittelt. Er sei nun in der Zwickmühle, sagt Journalist Florian Klenk.",world,2021-05-14T09:26:00Z
BLICK,Nahost-Konflikt: Österreichs Kanzleramt lässt Israel-Fahne hissen,Aus Solidarität mit Israel haben Österreichs Kanzler Sebastian Kurz und Aussenminister Alexander Schallenberg auf ihren Amtsgebäuden die Fahne des Landes hissen lassen.,world,2021-05-14T09:20:47Z
BLICK,Soziale Medien: Neue Datenschutz-Bestimmungen bei Whatsapp,Schon seit Anfang des Jahres gibt es Aufregung um die neuen Datenschutz-Bestimmungen bei Whatsapp. Nach erster Kritik und eine Abwanderung von Nutzern verschob Facebooks Chat-App die Einführung von Februar auf Mai. Die Änderungen werden jetzt sanfter umgesetzt.,world,2021-05-14T07:13:37Z
20 Minuten,Francina Armengol : Präsidentin der Balearen erlaubt diesen Sommer noch keine Partys,"Das Nachtleben auf den Balearen bleibt diese Saison noch aus, wie Präsidentin Francina Armengol sagt. Sommer-Touristen müssen sich wohl auf Urlaub ohne Clubbesuche einstellen.",world,2021-05-14T04:42:45Z
BLICK,Stromausfall in der Region Aarau,In mehreren Gemeinden im Kanton Aargau kam es am Freitagabend zu einem Stromausfall. Dieser dauerte rund zwei Stunden.,world,2021-05-14T16:54:55Z
BLICK,Covid: In diesen Ländern Europas herrscht keine Quarantänepflicht,"Die Temperatur steigt und die Reiselust ebenso. Blick zeigt die 13 Länder in Europa auf, wo Schweizer aktuell ohne Quarantäne-Auflagen einreisen dürfen.",world,2021-05-14T13:37:22Z
20 Minuten,Ferien ohne Quarantäne : Italien hebt die Quarantänepflicht für Touristen auf,Ab Sonntag dürfen Touristen aus der EU und einigen anderen Ländern ohne Quarantäne nach Italien reisen. Ein negativer Test reicht ab dann aus.,world,2021-05-14T11:54:14Z
BLICK,Gericht erklärt Tengelmann-Chef Karl-Erivan Haub für tot,Gut drei Jahre nach seinem Verschwinden in den Schweizer Alpen hat das Kölner Amtsgericht den Milliardär Karl-Erivan Haub für tot erklärt.,world,2021-05-14T11:19:00Z
20 Minuten,Linie 10 : Unbekannte verprügeln Mann (20) in Zürcher Tram,Im Zürcher Tram 10 wurde ein 20-jähriger Mann von einer Gruppe Unbekannter angegriffen und verletzt. Er musste ins Spital gebracht werden. Die Polizei bittet um Mithilfe.,world,2021-05-14T10:51:35Z
20 Minuten,Absturz im Reichen-Ranking : Elon Musk verliert nach SNL-Auftritt 20 Milliarden Dollar an Wert,Die Witze des Tesla-Chefs über Kryptowährungen sorgten für einen Kurssturz. Nun schrumpfte auch sein Vermögen. Musk ist nicht mehr der zweitreichste Mensch der Welt.,world,2021-05-14T10:23:49Z
BLICK,St. Galler Schulen warnen vor strengen Corona-Regeln in Graubünden,Die Corona-Massnahmen werden schweizweit langsam gelockert. Die St. Galler Schüler freuen sich deshalb auf die Klassenlager im Sommer. Die strengen Vorschriften im Kanton Graubünden dürften jedoch manche Kinderträume platzen lassen.,world,2021-05-14T09:45:39Z
BLICK,Schweiz: Neue Art der Virushemmung gefunden,"ETH-Forschende haben eine wichtige Schwachstelle des Coronavirus' entdeckt: Stört man einen bestimmten Prozess, hemmt das die Vermehrung des Erregers. Aus dieser Erkenntnis lässt sich möglicherweise ein Medikament entwickeln, das alle Varianten des Virus' angreift.",world,2021-05-14T09:35:56Z
Gamers.at,Die Sims 4 erhält Innenhof-Oase-Set,"Die Sims 4 und Electronic Arts kündigen das Innenhof-Oase-Set an, das ab dem 18. Mai 2021 erhältlich sein wird.",world,2021-05-14T09:26:21Z
GMX.ch,GNTM im Couchticker: Klum sorgt für unangenehmen Moment - Kandidatin bringt Joop zum Weinen,Heidi Klum hatte Wolfgang Joop an ihrer Seite - und der wurde von einer Kandidatin umgehauen. GNTM im Couchticker zum Nachlesen.,world,2021-05-14T09:20:13Z
Bluewin.ch,GC nach Remis bei Xamax noch einen Sieg vom Aufstieg entfernt,"Die Grasshoppers haben es vor der letzten Runde der Challenge League in der Hand, nach zwei Jahren in die Super League zurückzukehren. GC spielt in Neuenburg 1:1, Thun verliert daheim gegen Aarau 1:3.",world,2021-05-14T20:15:00Z
Www.srf.ch,News aus der National League – ZSC Lions holen KHL-Stürmer und verabschieden Wick,Hier finden Sie die wichtigsten Kurzmeldungen des Tages aus dem Schweizer Eishockey-Geschehen.,world,2021-05-14T18:58:00Z
Www.srf.ch,Das Neueste zur Coronakrise - Johnson: Indische Virus-Variante gefährdet Lockerungspläne,"Die für Ende Juni geplante Aufhebung aller Massnahmen könnte erschwert werden, so Premierminister Boris Johnson.",world,2021-05-14T18:01:58Z
Aargauerzeitung.ch,Stromversorgung - 80 Minuten kein Pfuus in der Kantonshauptstadt ++ Eniwa-CEO meldet: Alle Kunden haben wieder Strom,In der Region Aarau war es zu einem grossflächigen Stromausfall gekommen.,world,2021-05-14T17:41:41Z
Www.nau.ch,«Grossstörung» bei Swisscom und Sunrise wieder behoben,"Kunden der beiden grössten Netzanbieter, Sunrise und Swisscom, meldeten Probleme. Die Störungen seien laut den Anbietern wieder behoben.",world,2021-05-14T17:24:00Z
Watson.ch,NHL: watson tippt die Stanley-Cup-Playoffs 2021 – Teil 1,Bereits in der Nacht auf Sonntag beginnen in der NHL die Stanley-Cup-Playoffs. Im ersten Teil der Vorschau analysieren wir die Serien in der North und der East Division.,world,2021-05-14T15:05:00Z
Watson.ch,James Mays Tesla ist kaputt und er ist mega genervt,"Wer hätte das gedacht: Bei langen Standzeiten kann es dazu kommen, dass sich der Tesla Model S keinen Meter bewegen lässt, obwohl der Akku randvoll ist.",world,2021-05-14T15:02:00Z
Deavita.com,Nichts riechen können - Geruchsverlust wegen Coronavirus - DEAVITA,"Forscher berichten über die entdeckten Mechanismen der kurz- und langfristigen Anosmie bei Sars-CoV-2, wenn Menschen nichts riechen können.",world,2021-05-14T14:50:03Z
Www.srf.ch,Grenze zu Basel - Deutschland erlaubt Einkaufstourismus: Das lief in Weil am Rhein,Seit Donnerstag dürfen Schweizer wieder in Deutschland einkaufen. In den Läden hatte es am Freitag noch genügend Platz.,world,2021-05-14T14:42:00Z
Blick.ch,Robert Geiss teilt nach Pizzeria-Verweis in Köln aus,"Robert Geiss ist hässig, nachdem ihn das deutsche Ordungsamt aus einer Pizzeria geworfen hat. Er findet, dadurch sei sein Dreh verunmöglicht worden – und will nun Schadensersatz.",world,2021-05-14T14:38:52Z
Www.nau.ch,Kritische Sicherheitslücken bedrohen WordPress Versionen 3.7 bis 5.7,WordPress gehört weltweit zu den beliebtesten und meistgenutzten CMS-Tools. Nun wurden in WordPress kritische Sicherheitslücken gefunden und gepatcht.,world,2021-05-14T14:15:08Z
Itmagazine.ch,Künftige iPhones mit kleinerem Face-ID-Chip,"Um den Platzbedarf zu verringern und günstigere Produktionskosten zu erzielen, soll Apple in kommenden iPhone- und iPad-Modellen einen signifikant kleineren VCSEL-Chip für die Gesichtserkennung Face ID einsetzen.",world,2021-05-14T14:12:07Z
