source,title,description,category,publishedAt
20 Minuten,US-Stadt in Arizona : Bär macht es sich auf Strommast gemütlich und riskiert Stromschlag,Im Bundesstaat Arizona machte es sich ein Bär auf einem Strommasten bequem. Ganz ungefährlich war das Plätzchen für das Tier nicht.,world,2021-05-12T16:02:33Z
BLICK,Hatte Tiffany Trump ein Techtelmechtel mit einem Secret-Service-Agenten?,"Es wird nie ruhig um die Trump-Familie: Ein Buch, das nun erscheint, sorgt für Aufsehen. Es geht um «unangemessene» Beziehungen zweier Mitglieder der Familie zu Secret-Service-Agenten.",world,2021-05-12T14:32:50Z
BLICK,McDonalds macht Impf-Aufrufe auf Kaffeebechern,Der Fast-Food-Multi McDonald's will bei der Bewältigung der Pandemie helfen. Auf seine Kaffeebecher druckt er Informationen zur Impfkampagne auf.,world,2021-05-12T11:33:04Z
Schweizer Radio und Fernsehen (SRF),Österreich - Staatsanwaltschaft ermittelt gegen Kanzler Kurz,Die Korruptionsstaatsanwaltschaft ermittelt wegen Aussagen in der sogenannten Ibiza-Affäre gegen Sebastian Kurz.,world,2021-05-12T09:37:00Z
Schweizer Radio und Fernsehen (SRF),Genugtuung für Opfer - Tötungen in Nordirland: Untersuchung belastet britische Armee,Die Aufarbeitung des 30 Jahre dauernden Bürgerkriegs in Nordirland ist ein heikles Thema im Vereinigten Königreich.,world,2021-05-12T07:41:00Z
20 Minuten,US-Repräsentantenhaus : Liz Cheney warnt in kämpferischer Rede vor Donald Trump,Der Republikanerin Liz Cheney hat vor der erwarteten Abwahl aus der Fraktionsführung im US-Repräsentantenhaus nochmals heftige Kritik an Ex-Präsident Donald Trump geübt.,world,2021-05-12T02:02:52Z
BLICK,Nahost-Eskalation zwischen Israel und Palästina spaltet die Welt,"Der wieder eskalierte Konflikt zwischen Israel und Palästina polarisiert die Welt. Beide Seiten sehen sich als Opfer. Es gibt kaum jemanden, der keine Meinung dazu hat. Auch Klima-Ikone Greta und Ex-US-Präsident Trump äussern sich. Trump will einen Schuldigen kennen.",world,2021-05-12T01:19:42Z
Schweizer Radio und Fernsehen (SRF),Gewalt im Nahen Osten - Explosionen und Tote in Tel Aviv - Lage eskaliert weiter,Es ist der bisher schwerste Raketenangriff auf Israels Küstenmetropole. Mindestens eine Person stirbt.,world,2021-05-11T20:38:00Z
20 Minuten,Gute Aussichten : WHO startet Prüfung von drei potenziellen Covid-19-Medikamenten,"Welche Medikamente können helfen, wenn das Coronavirus Sars-CoV-2 einen erwischt hat? Die Frage ist nach wie vor ungeklärt. In einer Studienreihe soll nun die Antwort gefunden werden.",world,2021-05-11T17:27:54Z
20 Minuten,Corona-Fettleibigkeit : Hast du seit Corona Probleme mit dem Gewicht?,"Die Weltgesundheitsorganisation WHO befürchtet, dass Kinder durch die Corona-Pandemie vermehrt unter Fettleibigkeit leiden. Hast auch du seit Beginn der Pandemie ungewollt zugenommen oder kennst das Problem aus deinem Umfeld? Schreib uns.",world,2021-05-11T17:06:24Z
