source,title,description,category,publishedAt
20 Minuten,Michelle Obama sorgt sich um Töchter,"Die ehemalige First Lady der USA hat Angst, dass ihre Töchter Opfer von Polizeigewalt werden könnten. Sie fordert die Menschen auf, mehr darüber zu sprechen.",world,2021-05-10T15:25:37Z
20 Minuten,Starlink : Himmelsbeobachter halten Musks Satelliten für Ufos und Sternschnuppen,Die Starlink-Satelliten von Multimilliardär und SpaceX-Gründer Elon Musk sind wieder einmal über der Schweiz gekreist. Das sorgt für Verwirrung bei unseren Leserinnen und Lesern.,world,2021-05-10T15:00:00Z
Telebasel,Französischer Serienmörder Fourniret stirbt mit 79 Jahren,"Der französische Serienmörder Michel Fourniret ist tot. Der 79-Jährige starb am Montag im Krankenhaus, wie die Pariser Staatsanwaltschaft mitteilte.",world,2021-05-10T14:46:43Z
20 Minuten,Unter medizinischer Beobachtung : Italienerin (23) bekommt versehentlich sechsfache Impfstoffdosis injiziert,In Italien wurde einer 23-Jährigen aus Versehen eine zu hohe Impfdosis verabreicht. Die Frau wurde vorsichtshalber unter medizinische Beobachtung gestellt.,world,2021-05-10T14:09:17Z
BLICK,Corona-Langzeitfolgen: Patienten haben noch sechs Monate später Beschwerden,Auch ein halbes Jahr nach einer Covid-19-Erkrankung leiden einer Studie zufolge 60 Prozent von im Krankenhaus behandelten Patienten weiterhin an mindestens einem Symptom der Virusinfektion.,world,2021-05-10T14:07:51Z
20 Minuten,«Orgasmen durch Yoga» : Kanadier bietet auf Bali Sex-Yoga an – jetzt muss er die Insel verlassen,Positionen wie der Krieger oder der herabschauende Hund bekommen bei Christopher Kyle Martin eine völlig neue Bedeutung. Auf Bali fand das die lokale Bevölkerung nicht so lustig.,world,2021-05-10T14:07:27Z
Telebasel,"BioNTech setzt dank Covid-Impfstoff 12,4 Milliarden Euro um","Grosserfolg dank Covid-19-Impfstoff: Das Mainzer Biotechunternehmen BioNTech erwartet aktuell einen Umsatz von 12,4 Milliarden Euro.",world,2021-05-10T12:50:27Z
Schweizer Radio und Fernsehen (SRF),"Eisheilige 2021 - Eisheilige: frisch, aber nicht frostig","Wie schon in den vergangenen drei Jahren sind auch 2021 die Eisheiligen kühl, Frost gibt es aber kaum.",world,2021-05-10T12:08:32Z
BLICK,Italienerin erhält versehentlich sechsfache Corona-Impfstoffdosis injiziert,Eine junge Italienerin hat durch einen Fehler versehentlich die sechsfache Dosis Corona-Impfstoff injiziert bekommen.,world,2021-05-10T10:54:46Z
BLICK,Freilaufender Bengalischer Tiger terrorisiert Houston,Bedrohliche Szenen in der US-amerikanischen Stadt Houston: Am Sonntag streifte ein Bengalischer Tiger durch die Vorgärten der Stadt. Ein Anwohner hielt das Tier mit einer Waffe in Schach.,world,2021-05-10T10:23:21Z
