source,title,description,category,publishedAt
Telebasel,Zwei Bienen öffnen Fanta-Flasche,In Sao Paolo wurde eine Brasilianerin Zeugin eines besonderen Naturspektakels. Zwei Bienen drehten den Deckel ihrer Fanta-Flasche auf.,world,2021-05-27T19:05:55Z
20 Minuten,Massenschiesserei in Kalifornien : Todesschütze kündigte Attentat vor Jahren gegenüber seiner Frau an,"Schon Jahre vor der Tat in San Jose hatte der Verdächtige seiner damaligen Frau gesagt, er wolle seine Arbeitskollegen bei einem Nahverkehrsbetrieb in Kalifornien umbringen. Der Ruf nach schärferen Waffengesetzen wird laut.",world,2021-05-27T18:53:08Z
BLICK,Starb Schweizer am Mount Everest wegen Corona?,"Am Mount Everest haben sich laut einem Tiroler Expeditionsleiter mindestens 100 Bergsteiger mit dem Coronavirus infiziert. Möglicherweise hatte sich auch der Schweizer Abdul Waheed Waraich (†41) angesteckt, der am Berg zusammengebrochen und gestorben war.",world,2021-05-27T18:49:51Z
20 Minuten,Seilbahnunglück am Lago Maggiore,Nach dem Seilbahnunglück am Lago Maggiore mit 14 Todesopfern wurden drei Männer verhaftet. Sie sind gemäss Berichten geständig. Nun drohen ihnen lange Haftstrafen.,world,2021-05-27T16:37:09Z
20 Minuten,Machthaber von Belarus : Er ist als Lügen-Lukaschenko aufgeflogen,"Alexander Lukaschenko besteht darauf: Ein Drohmail habe ihn veranlasst, den Ryanair-Flieger in Minsk landen zu lassen. Doch seine Version geht nicht auf.",world,2021-05-27T16:32:24Z
BLICK,Drogendealer wird dank Käse-Bild überführt,"In Liverpool wurde einem Drogendealer seine Liebe zu Käse zum Verhängnis. Die örtliche Polizei schnappte ihn wegen eines Fotos, auf dem er ein Stück Stilton in der Hand hält.",world,2021-05-27T15:55:32Z
BLICK,Rätsel um Thrombosen nach Astrazeneca-Impfungen gelöst!,"Nach der Corona-Impfung mit Astrazeneca oder Johnson & Johnson treten in seltenen Fällen Thrombosen auf. Deutsche Forscher haben eine Erklärung dafür gefunden. Sie wollen die Impfstoffe so anpassen, dass die gravierenden Nebenwirkungen komplett verschwinden.",world,2021-05-27T15:19:23Z
Telebasel,Polizei erwischt Blaufahrer (51) zweimal innert 19 Stunden,"Unverbesserlich zeigte sich am Dienstag ein Lastwagenfahrer bei Grenzach-Wyhlen: Die Polizei erwischte ihn zweimal – zuerst mit zwei, dann mit drei Promille.",world,2021-05-27T12:24:45Z
BLICK,Galápagos-Riesenschildkröte doch nicht ausgestorben,Sie galt eigentlich als ausgestorben. Umso grösser ist der Jubel unter den Forschern: Die Galápagos-Riesenschildkröte lebt noch.,world,2021-05-27T11:08:26Z
BLICK,US-Studie: Immunität gegen Covid-19 könnte lebenslang halten,Zwei voneinander unabhängige US-Studien zeigen: Der Mensch könnte ein Leben lang gegen Corona-Viren immun sein – jedoch nur mit doppeltem Schutz durch die natürliche Infektion und die Impfung.,world,2021-05-27T09:47:24Z
20 Minuten,Trends sehen gut aus,"Genug mit Kälte und Nässe – wo bleibt das schöne Wetter? Gemäss ersten Wettermodellen soll der Sommer besser werden, als es der Frühling war.",world,2021-05-27T18:37:36Z
Schweizer Radio und Fernsehen (SRF),Paris-Auftakt vs. Qualifikant - Federer in derselben Tableauhälfte wie Nadal und Djokovic,Nur ein Spieler der «Big Three» wird es bei den French Open in den Final schaffen. Bencic startet gegen Podoroska.,world,2021-05-27T15:08:00Z
Games.ch,Artikel und Gaming News aus der Schweiz,"GAMES.CH - Die Schweizer Spielewebsite mit News, Previews, Reviews, Event-Berichte und vielem mehr!",world,2021-05-27T15:00:00Z
Schweizer Radio und Fernsehen (SRF),News aus der National League - Senn von New Jersey zurück zu Davos,Hier finden Sie die wichtigsten Kurzmeldungen des Tages aus dem Schweizer Eishockey-Geschehen.,world,2021-05-27T13:36:41Z
20 Minuten,"""Ich habe JA gesagt""",Moderatorin Dominique Rinderknecht ist von ihrer rund viermonatigen Reise heimgekehrt. Im Gepäck hat sie eine Überraschung: Sie hat sich mit dem Südafrikaner Drew Gage verlobt.,world,2021-05-27T13:32:38Z
GMX.ch,"""Fernbeziehung"" beendet: Die Katze ist überglücklich nach Brust-OP","Daniela Katzenberger hat es getan: Nach langem Zögern hat sie sich die Oberweite straffen lassen. Nun hat sie verraten, wie es ihr damit geht.",world,2021-05-27T13:14:01Z
BLICK,Davos holt Goalie Gilles Senn aus Nordamerika zurück,"Nachdem man mit Robert Mayer nicht mehr zufrieden war, hat der HCD einen neuen Torhüter verpflichtet.",world,2021-05-27T13:11:51Z
